"행정구역","2025년10월_거주자_총인구수","2025년10월_거주자_연령구간인구수","2025년10월_거주자_0세","2025년10월_거주자_1세","2025년10월_거주자_2세","2025년10월_거주자_3세","2025년10월_거주자_4세","2025년10월_거주자_5세","2025년10월_거주자_6세","2025년10월_거주자_7세","2025년10월_거주자_8세","2025년10월_거주자_9세","2025년10월_거주자_10세","2025년10월_거주자_11세","2025년10월_거주자_12세","2025년10월_거주자_13세","2025년10월_거주자_14세","2025년10월_거주자_15세","2025년10월_거주자_16세","2025년10월_거주자_17세","2025년10월_거주자_18세","2025년10월_거주자_19세","2025년10월_거주자_20세","2025년10월_거주자_21세","2025년10월_거주자_22세","2025년10월_거주자_23세","2025년10월_거주자_24세","2025년10월_거주자_25세","2025년10월_거주자_26세","2025년10월_거주자_27세","2025년10월_거주자_28세","2025년10월_거주자_29세","2025년10월_거주자_30세","2025년10월_거주자_31세","2025년10월_거주자_32세","2025년10월_거주자_33세","2025년10월_거주자_34세","2025년10월_거주자_35세","2025년10월_거주자_36세","2025년10월_거주자_37세","2025년10월_거주자_38세","2025년10월_거주자_39세","2025년10월_거주자_40세","2025년10월_거주자_41세","2025년10월_거주자_42세","2025년10월_거주자_43세","2025년10월_거주자_44세","2025년10월_거주자_45세","2025년10월_거주자_46세","2025년10월_거주자_47세","2025년10월_거주자_48세","2025년10월_거주자_49세","2025년10월_거주자_50세","2025년10월_거주자_51세","2025년10월_거주자_52세","2025년10월_거주자_53세","2025년10월_거주자_54세","2025년10월_거주자_55세","2025년10월_거주자_56세","2025년10월_거주자_57세","2025년10월_거주자_58세","2025년10월_거주자_59세","2025년10월_거주자_60세","2025년10월_거주자_61세","2025년10월_거주자_62세","2025년10월_거주자_63세","2025년10월_거주자_64세","2025년10월_거주자_65세","2025년10월_거주자_66세","2025년10월_거주자_67세","2025년10월_거주자_68세","2025년10월_거주자_69세","2025년10월_거주자_70세","2025년10월_거주자_71세","2025년10월_거주자_72세","2025년10월_거주자_73세","2025년10월_거주자_74세","2025년10월_거주자_75세","2025년10월_거주자_76세","2025년10월_거주자_77세","2025년10월_거주자_78세","2025년10월_거주자_79세","2025년10월_거주자_80세","2025년10월_거주자_81세","2025년10월_거주자_82세","2025년10월_거주자_83세","2025년10월_거주자_84세","2025년10월_거주자_85세","2025년10월_거주자_86세","2025년10월_거주자_87세","2025년10월_거주자_88세","2025년10월_거주자_89세","2025년10월_거주자_90세","2025년10월_거주자_91세","2025년10월_거주자_92세","2025년10월_거주자_93세","2025년10월_거주자_94세","2025년10월_거주자_95세","2025년10월_거주자_96세","2025년10월_거주자_97세","2025년10월_거주자_98세","2025년10월_거주자_99세","2025년10월_거주자_100세 이상"
"전국  (0000000000)","50,921,853","50,921,853","249,162","238,990","237,337","256,328","270,599","285,661","313,283","338,457","370,585","421,285","444,540","441,658","448,822","488,147","481,357","464,886","449,523","474,246","486,942","444,184","437,448","477,061","485,832","501,259","573,134","632,409","615,232","641,949","667,289","688,422","697,734","707,895","711,279","719,160","676,163","643,528","625,743","612,640","616,601","628,126","641,636","673,565","748,754","816,861","818,185","840,453","795,596","729,899","755,405","738,181","781,669","857,244","863,731","864,266","922,140","889,110","901,950","897,461","819,406","798,786","818,109","755,888","804,241","818,181","897,645","881,616","784,806","725,337","715,019","646,362","664,957","548,477","482,088","522,413","377,014","402,473","403,916","387,889","381,208","281,049","270,988","271,599","270,423","304,197","231,016","199,466","187,693","157,205","133,373","111,832","95,114","72,475","54,494","42,753","28,777","23,117","17,052","11,677","7,907","4,374","8,439"
"서울특별시  (1100000000)","9,246,276","9,246,276","42,804","38,894","37,737","40,262","42,172","43,717","47,938","51,102","55,455","63,315","66,586","66,751","68,021","73,976","72,449","71,412","69,168","74,384","77,934","77,158","80,470","91,299","97,016","105,642","124,820","143,565","143,998","152,848","160,213","163,572","164,209","165,437","163,039","161,823","150,183","138,866","132,373","127,180","124,678","123,920","124,277","126,950","137,337","145,991","145,924","147,643","140,203","126,219","132,038","129,083","134,999","146,864","148,614","151,315","160,260","152,685","152,082","146,794","133,950","127,858","132,819","125,466","131,903","131,835","142,997","145,046","132,152","124,405","124,053","113,481","119,438","98,727","88,045","94,123","66,539","74,085","74,444","71,508","72,055","54,551","50,886","49,280","47,579","52,704","39,331","33,132","30,159","25,001","20,829","17,155","14,172","10,704","8,139","6,349","4,281","3,500","2,708","1,857","1,321","702","1,343"
"부산광역시  (2600000000)","3,233,188","3,233,188","13,732","13,101","13,295","14,505","15,278","16,301","17,902","20,007","22,145","25,245","26,594","26,331","26,242","28,482","27,710","26,251","24,747","26,040","26,733","24,913","25,686","28,822","30,649","31,380","35,756","38,305","35,910","37,209","38,169","39,925","39,744","40,801","41,474","42,356","39,420","37,934","37,131","35,708","36,019","36,429","37,635","40,171","45,140","49,703","51,253","52,765","49,484","44,835","44,863","43,304","47,059","51,262","51,895","52,674","55,665","54,959","55,112","55,853","52,152","50,742","50,956","48,195","53,658","56,334","62,544","62,633","56,628","54,139","54,713","50,589","53,264","43,612","39,117","41,577","32,679","32,711","33,064","31,501","29,639","21,444","20,556","21,061","20,657","21,325","16,595","14,192","12,709","10,045","8,427","6,746","5,694","4,239","3,079","2,381","1,621","1,148","999","686","471","233","420"
"대구광역시  (2700000000)","2,348,042","2,348,042","10,742","10,340","10,209","11,149","11,884","12,999","14,622","15,907","17,513","20,030","20,735","20,589","20,764","22,736","21,974","21,163","20,263","21,751","22,314","20,495","20,644","22,609","23,571","23,324","26,291","28,433","26,324","26,970","28,368","29,201","29,653","29,693","30,112","30,954","28,882","28,041","27,401","25,632","26,631","27,054","27,188","28,736","32,465","36,082","36,407","37,689","35,536","32,694","34,404","34,398","36,413","40,114","40,661","41,276","43,517","42,651","42,928","43,982","40,755","38,975","39,713","36,968","38,937","40,205","43,366","41,776","38,018","32,656","34,050","31,243","31,735","25,786","25,014","26,358","19,757","19,791","20,977","19,494","18,161","11,934","12,091","13,554","13,749","14,307","11,106","9,535","8,828","7,294","6,153","5,058","4,316","3,147","2,325","1,878","1,246","875","645","439","291","153","275"
"인천광역시  (2800000000)","3,034,595","3,034,595","16,699","16,182","15,655","16,695","17,389","18,372","20,129","20,753","22,723","25,549","26,953","26,425","26,945","28,951","29,182","27,521","26,676","27,763","28,862","26,007","25,284","27,540","28,409","29,349","33,517","37,431","36,933","38,677","40,622","41,918","43,231","44,727","46,015","47,099","44,609","42,000","40,873","39,642","39,350","40,614","40,983","42,778","47,566","51,389","51,714","52,645","49,367","44,967","45,990","44,075","47,474","50,906","51,450","51,733","54,418","52,729","53,760","53,436","48,703","47,960","50,634","46,980","49,708","50,038","53,505","52,339","46,056","42,646","40,480","35,817","36,243","29,247","25,122","27,087","17,797","20,221","20,405","19,476","19,480","14,556","13,260","12,950","13,090","14,260","10,738","9,124","8,773","7,525","6,173","5,379","4,505","3,423","2,725","2,129","1,437","1,213","915","638","423","255","509"
"광주광역시  (2900000000)","1,391,771","1,391,771","6,371","6,281","6,580","7,446","8,075","8,397","9,461","10,415","11,206","12,800","13,332","13,655","13,781","15,152","14,858","14,693","14,181","14,873","15,598","14,056","13,941","15,242","15,828","15,859","17,577","19,048","18,190","18,566","18,990","19,316","19,448","19,237","19,017","18,876","17,366","16,201","15,625","15,273","15,759","16,350","16,835","18,617","20,928","23,257","22,474","23,462","23,050","20,811","21,899","21,840","22,280","25,169","24,637","24,806","26,012","24,783","24,094","24,762","22,095","21,964","21,278","19,460","20,986","19,631","20,990","22,064","19,321","17,480","16,924","14,460","15,398","12,375","11,055","12,066","9,999","10,226","10,580","9,681","9,875","7,492","7,048","6,500","6,200","7,806","5,661","4,780","4,225","3,594","3,137","2,408","2,103","1,731","1,204","953","679","587","409","255","161","111","183"
"대전광역시  (3000000000)","1,437,071","1,437,071","7,530","7,337","7,338","7,747","7,994","8,062","8,925","9,563","10,761","12,038","12,802","12,608","13,158","13,759","14,080","13,410","13,103","13,931","14,746","14,184","14,356","16,174","16,771","17,288","19,369","20,921","20,130","20,706","21,374","21,799","21,641","21,540","21,094","21,223","19,644","18,738","17,663","17,515","17,115","17,418","17,714","18,185","20,297","22,045","22,603","22,857","21,904","20,752","21,531","20,982","22,015","24,535","24,817","24,028","26,209","24,799","25,978","25,744","22,457","20,959","21,837","19,955","20,512","21,988","24,541","23,372","20,435","18,686","18,720","17,339","17,436","14,576","12,241","13,073","9,571","10,720","10,184","9,754","9,048","6,847","6,666","6,791","6,446","7,558","5,462","4,447","4,475","3,809","3,150","2,649","2,273","1,738","1,299","1,060","689","580","395","286","180","99","218"
"울산광역시  (3100000000)","1,089,894","1,089,894","5,443","5,147","5,010","5,485","6,096","6,602","7,163","8,011","8,919","10,268","10,911","10,870","10,949","11,732","11,421","11,096","10,624","11,234","11,313","9,404","8,891","9,326","9,006","9,206","10,700","12,338","11,940","12,848","13,497","14,048","14,024","14,141","14,252","14,414","13,827","13,318","13,288","12,660","12,939","13,425","13,514","14,832","16,544","18,246","18,604","19,507","17,930","16,635","17,039","15,968","17,272","18,737","19,116","19,133","20,865","20,494","21,086","21,535","20,250","19,987","20,196","18,003","18,689","18,959","20,809","19,359","17,362","15,813","15,236","13,595","13,646","11,035","9,990","10,040","7,687","7,439","7,193","6,881","6,178","4,206","4,047","4,095","4,236","4,402","3,024","2,787","2,443","1,985","1,642","1,355","1,169","921","707","512","356","250","196","127","98","53","93"
"세종특별자치시  (3600000000)","391,614","391,614","2,876","2,862","2,935","3,322","3,751","3,815","4,295","4,582","5,082","5,552","5,882","5,593","5,665","5,948","5,784","5,463","5,201","5,285","4,939","4,179","3,670","3,637","3,479","3,203","3,317","3,670","3,584","3,732","3,948","4,412","4,728","5,227","5,541","5,894","5,968","5,877","5,951","6,068","6,294","6,503","6,539","7,049","7,738","8,684","8,520","8,524","8,153","7,168","7,303","6,768","6,857","7,144","6,669","6,244","6,384","5,814","5,601","5,291","4,509","4,170","4,372","4,001","4,039","4,198","4,616","4,309","3,772","3,458","3,380","3,121","3,169","2,579","2,076","2,281","1,604","1,805","1,782","1,502","1,423","1,083","1,010","1,071","1,024","1,190","919","759","746","640","528","497","445","361","272","212","143","118","84","78","44","19","41"
"경기도  (4100000000)","13,662,497","13,662,497","75,743","73,456","72,863","79,349","82,225","85,780","93,415","100,371","108,859","123,622","130,309","128,356","128,907","140,587","137,784","132,770","128,352","135,290","137,615","125,325","119,995","129,581","130,646","135,167","156,842","173,977","170,114","177,079","183,303","189,849","194,840","199,435","202,084","206,519","196,537","186,681","182,826","180,403","180,125","183,590","188,638","195,571","217,061","236,129","237,307","241,277","227,511","207,466","214,606","209,271","219,421","238,576","239,254","240,227","253,221","242,279","244,260","238,845","215,942","209,520","215,423","198,341","207,002","205,760","222,370","214,322","189,383","175,229","166,059","148,877","151,089","123,050","107,032","115,444","76,271","84,488","84,732","82,486","82,958","63,094","59,842","57,964","56,571","63,108","49,085","41,777","39,397","33,422","28,399","23,768","20,282","15,360","11,659","9,120","6,196","5,069","3,752","2,661","1,786","989","1,927"
